Country,LONG,LAT,Point_ID,NUTS_1,NUTS_2,NUTS_3,P,N,K,CaCO3,pH_CaCl2,pH_H20,EC,OC,Land Cover,Land Description,Land Use,Revisited_point,Soil_Stones
Sweden,13.462217816,57.27488429,45303802,SE2,SE21,SE211,36.4,12.4,26.5,0,2.9,3.84,7.12,517.3,Woodland,Pine dominated coniferous woodland,Semi-natural and natural areas not in use,Yes,1
Sweden,13.076129939,57.01454657,45083772,SE2,SE23,SE231,43.8,4.2,35.4,0,3.3,4.21,13.75,106.2,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,1
Sweden,16.093428988,59.94067064,46624108,SE1,SE12,SE125,63.8,12.3,351.9,0,3.3,4.13,17.59,495.4,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,1
Sweden,16.629347942,60.295897567,46884150,SE3,SE31,SE313,36.2,5.9,28.7,0,3.7,4.08,36.9,131.9,Woodland,Other coniferous woodland,FORESTRY,Yes,1
Sweden,16.604079719,60.351301803,46864156,SE3,SE31,SE313,44.2,1.2,69.4,0,3.8,4.71,7.34,25.9,Woodland,Other coniferous woodland,FORESTRY,Yes,1
Sweden,21.262101676,66.594937396,48224872,SE3,SE33,SE332,14.1,2.2,11.9,0,4.0,4.64,3.43,46.2,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,1
Sweden,13.343740033,57.061978359,45243778,SE2,SE23,SE231,26.9,2.0,33.2,0,3.3,4.19,9.5,39.8,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,1
Sweden,17.048988583,60.564991299,47084182,SE3,SE31,SE313,35.3,13.8,235.1,0,3.6,4.31,52.5,321.7,Shrubland,Shrubland with sparse tree cover,FORESTRY,Yes,1
Sweden,16.65138905,61.669159643,46744302,SE3,SE31,SE313,50.7,15.6,268.7,0,3.3,4.12,17.54,477.5,Woodland,Other coniferous woodland,"Amenities, museum, leisure (e.g. parks, botanical gardens)",Yes,1
Sweden,19.694447922,66.526883666,47544854,SE3,SE33,SE332,11.0,1.0,15.3,1,4.1,4.41,15.52,18.6,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,3
Sweden,19.385071045,66.544232634,47404854,SE3,SE33,SE332,31.2,0.8,23.4,0,4.1,4.54,3.36,18.8,Shrubland,Shrubland with sparse tree cover,FORESTRY,Yes,3
Sweden,21.711602305,65.501051801,48644756,SE3,SE33,SE332,44.4,15.5,144.8,1,4.1,4.68,12.47,281.6,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,1
Sweden,21.913566059,65.85321751,48664796,SE3,SE33,SE332,80.7,7.7,212.4,0,3.5,4.58,26.5,141.3,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,4
Sweden,21.664358272,65.889280165,48544798,SE3,SE33,SE332,43.9,1.9,242.0,0,3.8,4.15,26.3,36.4,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,1
Sweden,17.260818036,60.861955943,47164216,SE3,SE31,SE313,59.6,14.1,406.3,0,3.2,4.14,36.4,375.8,Woodland,Spruce dominated coniferous woodland,FORESTRY,Yes,1
Sweden,21.736395153,66.04921827,48544816,SE3,SE33,SE332,31.2,31.3,181.2,0,3.9,4.42,34.5,469.5,Woodland,Broadleaved woodland,FORESTRY,Yes,1
Sweden,12.461113438,58.178978989,44663900,SE2,SE23,SE232,86.1,15.3,225.6,0,3.0,3.94,52.6,450.0,Woodland,Spruce dominated coniferous woodland,FORESTRY,Yes,1
Sweden,16.841994762,60.448502342,46984168,SE3,SE31,SE313,34.9,5.1,86.3,1,3.0,3.94,10.75,163.6,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,2
Sweden,12.469693459,58.304786362,44663914,SE2,SE23,SE232,41.2,10.9,127.5,1,3.3,4.09,35.3,249.2,Woodland,Other coniferous woodland,FORESTRY,Yes,1
Sweden,18.101338103,64.045745609,47184572,SE3,SE33,SE331,22.8,26.8,50.1,0,4.2,4.78,19.41,466.7,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,1
Sweden,17.813226395,64.04217258,47044570,SE3,SE33,SE331,38.1,8.9,135.1,0,4.4,4.97,13.63,161.4,Woodland,Other mixed woodland,FORESTRY,Yes,1
